date,temperature,humidity,luminosity
2023-12-21 14:58:55.210,19.3,22.3,292
2023-12-21 14:58:53.167,19.3,22.2,293
2023-12-21 14:58:51.124,19.3,22.1,293
2023-12-21 14:58:49.081,19.3,22.2,292
2023-12-21 14:58:47.038,19.3,22.2,293
2023-12-21 14:58:44.995,19.3,22.1,294
2023-12-21 14:58:42.953,19.3,22.1,294
2023-12-21 14:58:40.909,19.3,22.1,292
2023-12-21 14:58:38.866,19.3,22.2,292
2023-12-21 14:58:36.823,19.3,22.1,292
2023-12-21 14:58:34.780,19.3,22.2,294
2023-12-21 14:58:32.737,19.3,22.2,292
2023-12-21 14:58:30.694,19.3,22.2,291
2023-12-21 14:58:28.652,19.3,22.2,291
2023-12-21 14:58:26.608,19.3,22.0,291
2023-12-21 14:58:24.565,19.3,22.1,291
2023-12-21 14:58:22.523,19.3,22.1,292
2023-12-21 14:58:20.479,19.3,22.2,292
2023-12-21 14:58:18.436,19.3,22.0,293
2023-12-21 14:58:16.394,19.3,22.2,294
2023-12-21 14:58:14.351,19.3,22.2,293
2023-12-21 14:58:12.308,19.3,22.2,292
2023-12-21 14:58:10.265,19.3,22.1,293
2023-12-21 14:58:08.222,19.3,22.2,292
2023-12-21 14:58:06.179,19.3,22.2,290
2023-12-21 14:58:04.135,19.3,22.2,291
2023-12-21 14:58:02.093,19.3,22.2,292
2023-12-21 14:58:00.050,19.3,22.2,290
2023-12-21 14:57:58.007,19.3,22.2,275
2023-12-21 14:57:55.964,19.3,22.2,275
2023-12-21 14:57:53.924,19.3,22.1,277
2023-12-21 14:57:51.882,19.3,22.2,277
2023-12-21 14:57:49.839,19.3,22.1,277
2023-12-21 14:57:47.796,19.3,22.2,276
2023-12-21 14:57:45.753,19.3,22.2,279
2023-12-21 14:57:43.710,19.3,22.1,280
2023-12-21 14:57:41.667,19.3,22.2,281
2023-12-21 14:57:39.624,19.3,22.2,279
2023-12-21 14:57:37.581,19.3,22.3,280
2023-12-21 14:57:35.538,19.3,22.1,281
2023-12-21 14:57:33.495,19.3,22.2,282
2023-12-21 14:57:31.452,19.3,22.2,281
2023-12-21 14:57:29.409,19.3,22.3,281
2023-12-21 14:57:27.366,19.3,22.3,280
2023-12-21 14:57:25.324,19.3,22.3,280
2023-12-21 14:57:23.280,19.3,22.3,280
2023-12-21 14:57:21.237,19.3,22.3,282
2023-12-21 14:57:19.194,19.3,22.3,281
2023-12-21 14:57:17.150,19.3,22.4,283
2023-12-21 14:57:15.107,19.3,22.4,281
2023-12-21 14:57:13.064,19.3,22.5,281
2023-12-21 14:57:11.022,19.3,22.5,280
2023-12-21 14:57:08.978,19.3,22.5,283
2023-12-21 14:57:06.935,19.2,22.6,283
2023-12-21 14:57:04.893,19.3,22.6,275
2023-12-21 14:57:02.849,19.3,22.6,274
2023-12-21 14:57:00.807,19.3,22.7,276
2023-12-21 14:56:58.764,19.3,22.7,276
2023-12-21 14:56:56.721,19.3,22.7,274
2023-12-21 14:56:54.678,19.3,22.8,276
2023-12-21 14:56:52.638,19.3,22.9,276
2023-12-21 14:56:50.595,19.3,22.8,277
2023-12-21 14:56:48.552,19.3,22.9,273
2023-12-21 14:56:46.509,19.3,22.9,273
2023-12-21 14:56:44.466,19.3,23.0,276
2023-12-21 14:56:42.423,19.3,23.0,278
2023-12-21 14:56:40.380,19.3,23.0,276
2023-12-21 14:56:38.338,19.3,22.9,275
2023-12-21 14:56:36.295,19.3,22.8,274
2023-12-21 14:56:34.251,19.3,22.7,277
2023-12-21 14:56:32.209,19.3,22.7,276
2023-12-21 14:56:30.165,19.3,22.8,276
2023-12-21 14:56:28.123,19.3,22.7,275
2023-12-21 14:56:26.079,19.3,22.7,276
2023-12-21 14:56:24.036,19.3,22.6,276
2023-12-21 14:56:21.994,19.3,22.5,274
2023-12-21 14:56:19.951,19.3,22.4,274
2023-12-21 14:56:17.908,19.3,22.5,272
2023-12-21 14:56:15.865,19.3,22.4,274
2023-12-21 14:56:13.822,19.3,22.4,273
2023-12-21 14:56:11.779,19.3,22.4,273
2023-12-21 14:56:09.736,19.3,22.3,273
2023-12-21 14:56:07.693,19.3,22.3,274
2023-12-21 14:56:05.650,19.2,22.4,272
2023-12-21 14:56:03.607,19.3,22.5,272
2023-12-21 14:56:01.564,19.3,22.3,274
2023-12-21 14:55:59.521,19.3,22.3,278
2023-12-21 14:55:57.478,19.3,22.4,276
2023-12-21 14:55:55.434,19.3,22.4,275
2023-12-21 14:55:53.390,19.3,22.4,277
2023-12-21 14:55:51.350,19.3,22.4,276
2023-12-21 14:55:49.307,19.3,22.3,276
2023-12-21 14:55:47.263,19.3,22.5,276
2023-12-21 14:55:45.220,19.3,22.5,277
2023-12-21 14:55:43.177,19.3,22.5,277
2023-12-21 14:55:41.134,19.3,22.4,276
2023-12-21 14:55:39.091,19.3,22.5,277
2023-12-21 14:55:37.048,19.3,22.5,279
2023-12-21 14:55:35.005,19.3,22.6,278
2023-12-21 14:55:32.962,19.2,22.5,278
2023-12-21 14:55:30.920,19.3,22.5,277
2023-12-21 14:55:28.876,19.3,22.5,279
2023-12-21 14:55:26.833,19.3,22.5,279
2023-12-21 14:55:24.789,19.3,22.5,275
2023-12-21 14:55:22.747,19.3,22.5,275
2023-12-21 14:55:20.704,19.3,22.4,277
2023-12-21 14:55:18.661,19.3,22.2,274
2023-12-21 14:55:16.617,19.3,22.2,274
2023-12-21 14:55:14.574,19.2,22.2,273
2023-12-21 14:55:12.531,19.3,22.1,279
2023-12-21 14:55:10.489,19.3,22.1,279
2023-12-21 14:55:08.446,19.3,22.0,277
2023-12-21 14:55:06.402,19.3,22.1,277
2023-12-21 14:55:04.360,19.3,22.2,277
2023-12-21 14:55:02.316,19.2,22.2,277
2023-12-21 14:55:00.273,19.2,22.2,277
2023-12-21 14:54:58.230,19.3,22.1,277
2023-12-21 14:54:56.187,19.2,22.1,279
2023-12-21 14:54:54.144,19.3,22.2,278
2023-12-21 14:54:52.101,19.2,22.3,276
2023-12-21 14:54:50.062,19.2,22.2,277
2023-12-21 14:54:48.018,19.3,22.2,279
2023-12-21 14:54:45.975,19.3,22.2,278
2023-12-21 14:54:43.932,19.3,22.3,278
2023-12-21 14:54:41.888,19.3,22.2,278
2023-12-21 14:54:39.844,19.3,22.2,280
2023-12-21 14:54:37.801,19.3,22.4,278
2023-12-21 14:54:35.759,19.2,22.2,278
2023-12-21 14:54:33.716,19.3,22.3,278
2023-12-21 14:54:31.672,19.3,22.3,280
2023-12-21 14:54:29.628,19.3,22.4,278
2023-12-21 14:54:27.586,19.3,22.4,278
2023-12-21 14:54:25.543,19.3,22.4,275
2023-12-21 14:54:23.500,19.2,22.5,275
2023-12-21 14:54:21.456,19.2,22.3,274
2023-12-21 14:54:19.413,19.2,22.5,273
2023-12-21 14:54:17.371,19.2,22.4,276
2023-12-21 14:54:15.328,19.3,22.5,280
2023-12-21 14:54:13.285,19.2,22.5,279
2023-12-21 14:54:11.242,19.2,22.6,277
2023-12-21 14:54:09.199,19.3,22.6,277
2023-12-21 14:54:07.156,19.3,22.7,280
2023-12-21 14:54:05.113,19.2,22.6,279
2023-12-21 14:54:03.070,19.3,22.6,278
2023-12-21 14:54:01.026,19.3,22.7,277
2023-12-21 14:53:58.983,19.3,22.7,280
2023-12-21 14:53:56.940,19.2,22.7,279
2023-12-21 14:53:54.897,19.2,22.5,279
2023-12-21 14:53:52.855,19.2,22.5,278
2023-12-21 14:53:50.811,19.2,22.4,278
2023-12-21 14:53:48.772,19.2,22.5,280
2023-12-21 14:53:46.729,19.3,22.6,277
2023-12-21 14:53:44.685,19.3,22.5,274
2023-12-21 14:53:42.642,19.2,22.6,272
2023-12-21 14:53:40.599,19.2,22.5,272
2023-12-21 14:53:38.556,19.2,22.5,270
2023-12-21 14:53:36.513,19.2,22.5,269
2023-12-21 14:53:34.470,19.2,22.6,272
2023-12-21 14:53:32.427,19.2,22.5,272
2023-12-21 14:53:30.384,19.2,22.6,274
2023-12-21 14:53:28.340,19.2,22.6,275
2023-12-21 14:53:26.298,19.2,22.5,278
2023-12-21 14:53:24.255,19.2,22.6,279
2023-12-21 14:53:22.212,19.2,22.6,277
2023-12-21 14:53:20.169,19.2,22.6,278
2023-12-21 14:53:18.126,19.2,22.7,279
2023-12-21 14:53:16.083,19.2,22.7,281
2023-12-21 14:53:14.040,19.2,22.7,279
2023-12-21 14:53:11.997,19.3,22.7,279
2023-12-21 14:53:09.954,19.3,22.7,289
2023-12-21 14:53:07.911,19.2,22.8,279
2023-12-21 14:53:05.868,19.2,22.8,280
2023-12-21 14:53:03.825,19.2,22.8,281
2023-12-21 14:53:01.782,19.3,22.9,280
2023-12-21 14:52:59.739,19.2,22.8,282
2023-12-21 14:52:57.696,19.2,22.9,282
2023-12-21 14:52:55.653,19.2,22.9,281
2023-12-21 14:52:53.610,19.3,23.0,280
2023-12-21 14:52:51.567,19.2,23.1,281
2023-12-21 14:52:49.524,19.2,23.0,281
2023-12-21 14:52:47.485,19.2,23.1,279
2023-12-21 14:52:45.443,19.3,23.0,280
2023-12-21 14:52:43.399,19.2,22.7,280
2023-12-21 14:52:41.357,19.2,22.7,282
2023-12-21 14:52:39.313,19.2,22.8,279
2023-12-21 14:52:37.270,19.2,22.8,281
2023-12-21 14:52:35.227,19.2,22.8,280
2023-12-21 14:52:33.185,19.3,22.8,282
2023-12-21 14:52:31.142,19.2,22.7,281
2023-12-21 14:52:29.098,19.2,22.8,282
2023-12-21 14:52:27.056,19.3,22.9,281
2023-12-21 14:52:25.013,19.2,22.9,280
2023-12-21 14:52:22.970,19.3,23.0,283
2023-12-21 14:52:20.926,19.2,23.0,282
2023-12-21 14:52:18.883,19.2,23.0,281
2023-12-21 14:52:16.841,19.3,23.0,270
2023-12-21 14:52:14.798,19.3,22.9,287
2023-12-21 14:52:12.755,19.3,22.9,285
2023-12-21 14:52:10.712,19.3,23.1,285
2023-12-21 14:52:08.669,19.3,23.0,278
2023-12-21 14:52:06.626,19.3,23.2,286
2023-12-21 14:52:04.583,19.3,23.1,277
2023-12-21 14:52:02.540,19.3,23.2,278
2023-12-21 14:52:00.497,19.3,23.2,278
2023-12-21 14:51:58.454,19.3,23.2,279
2023-12-21 14:51:56.411,19.3,23.3,277
2023-12-21 14:51:54.368,19.2,23.4,284
2023-12-21 14:51:52.325,19.2,23.5,286
2023-12-21 14:51:50.282,19.3,23.4,290
2023-12-21 14:51:48.239,19.3,23.3,295
2023-12-21 14:51:46.200,19.2,23.2,297
2023-12-21 14:51:44.157,19.3,23.1,306
2023-12-21 14:51:42.114,19.3,22.8,280
2023-12-21 14:51:40.071,19.3,22.7,276
2023-12-21 14:51:38.028,19.3,22.6,273
